platform,username,comment_text,timestamp,likes,post_id,post_subject,post_url,comment_id,primary_emotion,sentiment_score,secondary_emotions,is_sarcastic,mentioned_entities
instagram,@fashion_police_101,That outfit is a whole MOOD. She never misses with her style,2024-11-20 20:10:00,567,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,c892e6a090bcf4d9,neutral,0.0,[],False,"{'people': [], 'shows': []}"
instagram,@relationship_goals_,Travis and Taylor are literally the cutest couple ever I ship them so hard,2024-11-20 20:35:00,892,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,97559eef084607de,love,1.0,[],False,"{'people': [], 'shows': []}"
instagram,@movie_news_daily,Blake Lively's performance in It Ends With Us was incredible,2024-11-20 21:00:00,445,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,6568ddedcfb42187,neutral,0.0,[],False,"{'people': [], 'shows': []}"
instagram,@random_commenter_42,Who even cares about this anymore? So tired of hearing about it,2024-11-20 21:25:00,15,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,f4a18516656ad043,fatigue,-1.0,[],False,"{'people': [], 'shows': []}"
instagram,@excited_fan_99,THIS IS EVERYTHING OMG OMG OMG 😍😍😍,2024-11-20 21:50:00,723,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,3e38f32412b73364,excitement,1.0,[],False,"{'people': [], 'shows': []}"
instagram,@analytical_viewer,Interesting how the narrative has shifted over the past few weeks,2024-11-20 22:15:00,91,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,340ee618a52c287e,disgust,-1.0,[],False,"{'people': [], 'shows': []}"
instagram,@nostalgic_watcher,Remember when ET used to cover different stories? Just me?,2024-11-20 22:40:00,23,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,1575b613d9812695,neutral,0.0,[],False,"{'people': [], 'shows': []}"
instagram,@celeb_gossip_addict,I'm here for ALL the drama. Keep it coming ET!,2024-11-20 23:05:00,178,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,2b6fa750c76c8f73,neutral,0.0,[],False,"{'people': [], 'shows': []}"
instagram,@awards_predictor,She's definitely winning Best Actress at the Oscars this year,2024-11-20 23:30:00,412,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,d345b7a3eff96b56,neutral,0.0,[],True,"{'people': [], 'shows': []}"
instagram,@fashion_icon_stan,Her stylist deserves a raise. Every look is perfection,2024-11-20 23:55:00,567,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,a96b1da7dfa66459,excitement,1.0,[],False,"{'people': [], 'shows': []}"
instagram,@disappointed_longtime_viewer,ET used to be must-watch TV. Now it's just the same stories recycled,2024-11-21 00:20:00,67,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,454859cbf49c2976,neutral,0.0,[],False,"{'people': [], 'shows': []}"
instagram,@new_fan_2024,Just discovered ET and I'm obsessed! Best entertainment news show,2024-11-21 00:45:00,234,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,c0efa84f49bbb95a,excitement,0.0,['disgust'],False,"{'people': [], 'shows': []}"
instagram,@travis_kelce_fan,My man Travis looking good! Chiefs kingdom stand up,2024-11-21 01:10:00,891,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,78a2fb1c85767681,excitement,1.0,[],False,"{'people': [], 'shows': []}"
instagram,@it_ends_with_us_reader,The movie didn't do the book justice tbh. Book was way better,2024-11-21 01:35:00,156,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,3ba257f3cc213148,neutral,0.0,[],False,"{'people': [], 'shows': []}"
instagram,@red_carpet_expert,Her red carpet moments this year have been absolutely legendary,2024-11-21 02:00:00,445,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,40e682b50ccf85e3,excitement,1.0,[],False,"{'people': [], 'shows': []}"
instagram,@casual_scroller_,This showed up on my feed and honestly I'm not mad about it,2024-11-21 02:25:00,89,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,f5a28ad2889e98cf,anger,-1.0,[],False,"{'people': [], 'shows': []}"
instagram,@drama_fatigue_,Another day another Taylor Travis story. When does it end?,2024-11-21 02:50:00,34,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,a4cb43bb124f8006,neutral,0.0,[],False,"{'people': [], 'shows': []}"
instagram,@golden_globes_watcher,Can't wait for awards season! ET always has the best coverage,2024-11-21 03:15:00,312,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,6173e9a8efe49824,neutral,0.0,[],False,"{'people': [], 'shows': []}"
instagram,@celebrity_news_junkie,I live for ET's exclusive backstage access. No one else has this,2024-11-21 03:40:00,678,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,0073ca9378670333,neutral,0.0,[],False,"{'people': [], 'shows': []}"
instagram,@blake_lively_stan,Blake is an absolute goddess. Talent and beauty combined,2024-11-21 04:05:00,523,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,13286d71c4a5bc41,neutral,0.0,[],False,"{'people': [], 'shows': []}"
instagram,@justin_baldoni_fan,Justin Baldoni deserves more credit for his work on this project,2024-11-21 04:30:00,201,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,5860ed86138411a2,neutral,0.0,[],False,"{'people': [], 'shows': []}"
instagram,@lawsuit_tracker_,The legal drama surrounding this movie is wild. Following closely,2024-11-21 04:55:00,112,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,31e98b1d97122894,neutral,0.0,[],False,"{'people': [], 'shows': []}"
instagram,@movie_marketing_nerd,Fascinating to watch how they're positioning this for awards season,2024-11-21 05:20:00,87,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,5c2276f5b97fc079,neutral,0.0,[],False,"{'people': [], 'shows': []}"
instagram,@entertainment_tonight_forever,ET has been my go-to for celeb news since the 90s. Never stopping,2024-11-21 05:45:00,445,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,d8043494966b09a7,disgust,-1.0,[],False,"{'people': [], 'shows': []}"
instagram,@young_viewer_gen_z,My mom watches this religiously. I'm slowly getting into it too lol,2024-11-21 06:10:00,156,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,9b737d85cc003a22,neutral,0.0,[],False,"{'people': [], 'shows': []}"
instagram,@story_fatigue_alert,Okay we get it they're dating. What else is happening in Hollywood?,2024-11-21 06:35:00,78,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,5d9cad61de4c51b2,neutral,0.0,[],False,"{'people': [], 'shows': []}"
instagram,@excited_about_everything,YESSS MORE CONTENT LIKE THIS PLEASE I NEED IT ALL,2024-11-21 07:00:00,934,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,78c7bed27bd6c85a,excitement,1.0,[],False,"{'people': [], 'shows': []}"
instagram,@balanced_viewer,Appreciate ET's balanced coverage. They don't sensationalize everything,2024-11-21 07:25:00,267,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,ff80d10eb3b0dd09,neutral,0.0,[],False,"{'people': [], 'shows': []}"
instagram,@super_bowl_ready,Travis better focus on football. Chiefs need him locked in,2024-11-21 07:50:00,423,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,bb9c160fc633bf72,neutral,0.0,[],False,"{'people': [], 'shows': []}"
instagram,@taylor_swift_army,Taylor nation stand up! She's living her best life and I'm here for it,2024-11-21 08:15:00,1247,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,00cdfd4c599bb1e7,excitement,1.0,[],False,"{'people': [], 'shows': []}"
instagram,@it_ends_with_us_discourse,The behind-the-scenes drama is more interesting than the movie itself,2024-11-21 08:40:00,345,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,70696d7cda20eaf5,neutral,0.0,[],False,"{'people': [], 'shows': []}"
instagram,@entertainment_analyst,ET's ratings this quarter must be through the roof with this coverage,2024-11-21 09:05:00,98,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,d8b92302ae0f4f43,neutral,0.0,[],False,"{'people': [], 'shows': []}"
instagram,@morning_coffee_viewer,Perfect content to watch with my morning coffee. Thanks ET!,2024-11-21 09:30:00,234,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,3f625d1aa8e85c85,excitement,1.0,[],False,"{'people': [], 'shows': []}"
instagram,@over_it_completely,This is getting ridiculous. Time to change the channel,2024-11-21 09:55:00,45,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,daca4f640527a10c,anger,-1.0,[],False,"{'people': [], 'shows': []}"
instagram,@awards_season_starts_now,Awards Season Starts Now! This is ET's best time of year,2024-11-21 10:20:00,567,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,87c274a4f8a51cb0,neutral,0.0,[],False,"{'people': [], 'shows': []}"
instagram,@nostalgic_for_old_et,Miss when ET covered a wider variety of stories and celebrities,2024-11-21 10:45:00,89,55abea6d5ac2,"Taylor Swift, Travis Kelce",https://instagram.com/p/TEST123,fd28fd1542d6bb9b,neutral,0.0,[],False,"{'people': [], 'shows': []}"
